;Historia de Madrid;El Palacio Real;Museo del Prado;Parque del Retiro;Gastronomía Madrilena;Gran Vía;Real Madrid y el Estadio Santiago BernabÃ©u;Navidad en Madrid;Nochevieja en Puerta del Sol;Madrid RÃ­o;Historia de Dortmund;Westfalenpark;Museo del FÃºtbol AlemÃ¡n;Mercado de Navidad de Dortmund;U-Tower - Centro de Arte y Creatividad;Borussia Dortmund y el Signal Iduna Park;La cervecerÃ­a Dortmund;La Reinoldikirche;Dortmund durante la Segunda Guerra Mundial;ZoolÃ³gico de Dortmund
Clubes de fútbol  famosos y sus estadios en Europa;0.7803126124181265;0.7049155545746728;0.794262200050544;0.7496869128391204;0.8703592552895671;0.7667152625920783;0.5959389821791157;0.829059135310543;0.861472871038117;0.7961411234249498;0.7923303473395339;0.668104074541991;0.7130279784082241;0.7499999999999998;0.7560249817628666;0.602966666411628;0.8124771076246018;0.7882975503900145;0.7514520935995198;0.7451764042811871
Transformación urbana y regeneración  de espacios;0.7675047225123613;0.6584349744680131;0.7958758547680684;0.6688669107337388;0.9142507074287456;0.7685449750568623;0.8663693790437879;0.8492443277111181;0.8167458334655422;0.7977400412610274;0.9313197180256555;0.7255893500257742;0.9457673855453359;0.669281086116926;0.5481519429424678;0.8030403507104162;0.8139478981161873;0.7199439831943979;0.9178005063473214;0.7303200550147031
Tradición  cervecera en ciudades europeas;0.9328843944785976;1.0;1.0;1.0;0.9009852457023326;1.0;0.9228483250189541;0.9129611720221511;0.9294654384141402;0.8443002111676954;0.7620845242845566;0.8732551498951044;0.812132712674455;1.0;1.0;0.8483803912842194;0.8567770251921134;1.0;0.8101684008495;0.9221501055838477
Mercados y comercio tradicional en Europa;0.9328843944785976;0.9436563830180988;1.0;1.0;0.9009852457023326;1.0;0.9228483250189541;0.8259223440443021;1.0;0.8443002111676954;0.7620845242845566;0.8098827248426568;0.812132712674455;0.9454455274410019;1.0;0.8483803912842194;1.0;1.0;0.8101684008495;0.9221501055838477
Centros de arte y creatividad en ciudades modernas;0.7093809031404517;0.6584349744680131;0.7278344730240912;0.7350935285869911;0.8285014148574912;0.7685449750568623;0.7995540685656818;0.7738664915666773;0.8167458334655422;0.7303200550147032;0.725278872102622;0.615825090036084;0.7830695421813437;0.669281086116926;0.5481519429424678;0.6717339178506938;0.8139478981161873;0.7199439831943979;0.753401519041964;0.6629000687683789
Actividades de ocio y entretenimiento en ciudades metropolitanas;0.6644219723929876;0.6055946811266919;0.764297739604484;0.6941123548392507;0.8019704914046651;0.7327387580875757;0.7685449750568621;0.7388835160664531;0.7883963152424205;0.6107505279192386;0.6827793657127423;0.5563930246328656;0.7495102835659401;0.6181186920870132;0.6273220037500349;0.6209509782105485;0.78516553778817;0.6766191666182224;0.7152526012742502;0.6107505279192385
Conservación  de la naturaleza y la vida silvestre en zonas urbanas;0.6512570837685421;0.6421699732522044;0.8639172365120455;0.6026402928804867;0.8856676099049942;0.7428277500631802;0.8663693790437879;0.6482367646592757;0.6334916669310844;0.7303200550147032;0.725278872102622;0.5975310467044689;0.7830695421813438;0.7165266452430794;0.6987679619616453;0.6936183233273142;0.7105856192918468;0.6265919775925305;0.6164023629541662;0.5055867675269559
Planificación  de eventos culturales y festivales en ciudades;0.5890025317366065;0.5169541084603517;0.7113248654051869;0.6253656753673221;0.7574643749636671;0.6726731646460116;0.7165266452430796;0.6801989254665843;0.740839472325592;0.6186149643017631;0.6114856550570942;0.45669463200556726;0.6932140044610516;0.5322928266532572;0.5435645354123613;0.5357616545573705;0.7368825942078912;0.60394098280933;0.651257083768542;0.5232687053772038
Desarrollo del transporte y la infraestructura urbana;0.7986531834357926;0.8309691490542966;0.764297739604484;0.6941123548392509;1.0;0.9109129193625252;0.9228483250189541;0.8259223440443021;0.6473271920707009;0.8443002111676954;0.8413896828563712;0.8732551498951044;0.6868878544574251;0.8908910548820037;0.925464400750007;0.9241901956421097;0.8567770251921134;0.7574643749636669;0.8101684008495;0.8443002111676954
Impacto de la tecnología  en la vida urbana;0.630102278562946;0.6204639423617051;0.8556624327025935;0.5317070942091529;0.8787321874818336;0.7272276372050096;0.8582633226215399;0.6268987463776816;0.6112592084883881;0.7139612232263224;0.7086142412928207;0.5731172108615171;0.7699105033457888;0.6993311028485225;0.680495174788653;0.6750331581901594;0.6930296932425397;0.6039409828093301;0.5931332643966323;0.5709418348394835
